p Cells|small receptive fields, high spacial resolution, color sensitive. info from fovea
m Cells|Large receptive fields, sensitive to contrast, sensitive to movement not color. Not fovea
Axons that receive inputs from the left half of the visual field from each eye|will join up together in the right lateral geniculate.
Images from the right half of the vision field will fall on|the Lateral side of the left retina and nasal side of right retina and the inputs from the left eye do not cross at the chiasm axons from the right eye do creoss at the chiasm and both meet up in the left lateral geniculate (LGN)
Organization of the LGN|6 layers in the LGN, each layer has the topographic map, each map are stacked in perfect register.
magnocellular cells|Large cells, they receive synapses from M ganglion cells. Found in Layers 1/2
parvocellular cells|Small cells, receive input from P cells of retina. Found in layers 3-6.
layers 1,4,6|from the contralateral eye, opposite to that on which a particular structure or condition occurs.
Layers 2,3,5|from ipsilateral eye, belonging to or occurring on the same side of the body.
M layer cells of layer 1/2|are not color sensitive, are sensitive to contrasts and motion
P cells of layers 3-6|are color sensitive, high resolution.  Layers may see same part of the world but sensitive to different colors, 3 and 5 will have different color sensitivities for example.
only 25% of input to LGN|is from retina, 75% comes from visual cortex and brainstem. What is it doing?
primary visual cortex|V1, area 17, striate cortex. about 2mm thick, organized into 6 layers. Each layer of visual cortex has topographic map, large portion dedicated to fovea
simple cell|recives LGN inputs, found in layer 4. Have receptive fields with on center or off center, surround responses are opposite to center. Receptive field is in shape of bar. Var has specific orientation that is preferred.
complex cells|are sensitive to edges w/ particular orientation. Can be anywhere in receptive field.
Ocular dominance columns|each eye is represented in alternating bands of cells.
Depth perception|Need two eyes that have some overlap in receptive fields. Look at a point on 3D object points that are part of this object that are in front and behind **fixation point**. This disparity is sensed by specific cells in the brain binocular disparity cells which interpret the images as part of one structure but in 3d
Sound intensity|measured in decibels, measured in logs
sound frequency|number of cycles per second (Hz)
Outer ear|pinna - shape for localizing sound
Middle ear|Eardrum + ossicles. ossicles = 3 bones, incus, malleus, stapes. Sound hit eardrum which moves ossicles, stapes pushes inner ear
Inner ear|cochlea - coiled tube 35mm long
scala vestibuli|upper part in cochlea
scala tympani|lower part in cochlea
partition in cochlear membrane supports|**basilar membrane**  under hair cells and **tectorial membrane** above
basil end has 2 membrane covered holes|oval window - stapes attaches, and round window
Cochlea near the apical end|Partition does not go all the way to the end, called **heliocotrema**, so s.vestibuli and tympani are not sealed from each other.
basilar membrane|sitting here are the sensory neurons = hair cells
hair cells|have cilia on the top of the cell, looked like someone snipped the hairs at an angle. hair cells do not fire ap. Do not have axons. Synapse with auditory neurons signals are graded changes in Vm.
kinocillium|longest hair cell and the others are called stereocillia. No axons.
inner hair cells|what detect sound. 95% of sensory neurons for our ear are these.
outer hair cells|more of them. 75% of total hair population. receive input from brain.
high freq motion in the cochlea|causes the basilar membrane to move most at basal end.
Low freq|move more at apical end
Mechanical tuning|in cochlea, short and stiff respond better to high freq, long flexible to low freq. Also: hairs are constructed to be shorter and stiffer at basal end of cochlea, longer more flexible at apical end
tiplinks|connected to ion channels which are on the tip of the hair. When stereocilia move toward kinocilium, they stretch the tip links and open ion channels, hair cell depolarizes. When stereocilia move opposite direction, (away from kino), tiplinks relax, ion channels close, hair cell hyperpolarizes.
When basilar membrane moves up|during rarefaction phase of sound 'wave' the stereocilia move toward the kinocilium and the hair cell depolarizes.
when the basilar membrane moves down|during compression of the sound 'wave', stereocilia move away from the kinocilium, ion channel closes, hair cell hyperpolarizes
as K+ enters hair top|hair depol, activates v-Ca++ channels which open. Ca++ enters, hair cell releases n.t.
