Voltage clamp|allows you to measure how permeable a membrane is and how ions are moving across it in real time. 2 electrodes needed inside cell. One to measure Vm, one to pass current.
Command voltage|you tell the circuitry what you want Vm to be
Voltage clamp circuitry|look at Vm is, where you set it (command voltage), then pass current into cell to make them match using the second electrode
Set Vm to -40 in squid (below threshold at -20)|Small inward current, no outward current
Set Vm at threshold|Initial normal inward and outward current.
Set Vm to +26mV|compared to setting at threshold, smaller inward current and larger outward current
Set Vm to +55mV or Driving force of Na+(ENa+)|No inward current, just outward
Set Vm to +65, 10 mB more positive that Ena+|Two outward currents, no inward
Conductance|the inverse of resistance:  G = (1/R)
Conductance(G) of Na+|high at beginning of AP, lower later during AP - V-gated channels and soon close
K+ conductance(G)|high and peaks later than Na+ in AP - V-gated channels open with a slight delay and stay open for a while
TTX (Tetradotoxin)|blocks Na+ channels. No inward Na+ flow, outward only. WE can now see how changing [K+] in and out can affect driving force.
TEA (Tetraethyl Ammonium)|blocks v-gated K+ channels, only inward current.  
B toxin from scorpians|causes Na+ channels to open at more (-) Vm than normal.Open sooner for lower Vm. V-clamp graph looks similar but the entire thing is shifted down toward inflow.
B toxin and TEA|stronger inflow, no outflow
B toxin and TTX|No inflow, normal outflow.
Driving force|tells you the strength of the forces acting on each ion, it is the difference between the membrane potential and the ion's equilibrium potential. df = V_m - E_ion (membrane potential - equilibrium potential)
Dendrotoxin|Causes massive firing of pain fibers, Vm is more depolarized than normal. Only influx, no outflux. Blocks K+ channels only, no affect on Na+ channels.
Dendrotoxin with TTX|no net current in or out.
Dendrotoxin with TEA|Normal in current only.
Patch clamp can be used as a voltage clamp|Smooth pipette electrode is brought to cell membrane and sealed, allows you to record activity of all the channels inside the edges of the pipette.
Block channels with TTX, patch clamp reading|Patch clamp with voltage clamp conditions well above threshold
4 types of v-gated channels have been identified|Na+, K+, Ca++, Cl-
K+channels are most|varied in properties
Molecular features of ion channels|membrane spanning regions, central pore, loop of amino acids, gate that can be opened or closed
We can restrict Na+ from a K+ channels using|small size, even though Na+ is technically smaller than K+. Water molecule binding(Na+ carries 3+ water molecules, K+ carries 2)
We can restrict K+ from a Na+ channels using|Magic. Still unknown
Na+ channels|single protein, 6 membrane spanning regions, each with 4 domains. Voltage sensor may be the S4 helix found in each domain. It is covered in pos charged lysine. Has Activation and Inactivation gate.
Activation gate|opens as soon as Vm becomes more (+), Na+ passes through the channel. Activation gate eventually shuts off with Vm becoming more negative.
Inactivation gate|activation gate's opening triggers it to close, shutting off Na+ movement even though the activation gate may still be open.
Ca++ channels|membrane spanning regions, each with 4 domains, single protein. everal different Ca++ channel genes so several different varieties (like Na+)
Cl- channels|also from one protein
K+ Channels|assembled from 4 seperately transcribed subunits. Can be combined to various ways to impart various features on the K+ channel's function much more variability in K+ Channels
K+ Channel in squid axon|Opens when Vm is becoming +, closes when vm is -
delayed rectifier channel|K+ channel stays open as long as Vm is positive
The A Channel|k+ Channel that closes shortly after it opens, Ball and chain idea. Enterance is blocked by ball quickly after it opens
M Channels|Muscarine activates them, acts similar to delayed rectifier (not Vm)
S Channels|Seratonin activates them, acts similar to delayed rectifier (not Vm)
Ca++ activated K Channel|Opens in response to Ca++ inside cell reaches certain level
Bursty Cell|Membrane depolarizes, crosses threshold, AP fires until Vm drops below threshold again. Usually used for rhythmic activity.   1. Leakage Ca++ channels - responsible for depolarizatio; 2. V-gated Na+ Channels; 3. V-gated K+ Channels; 4. Ca++ activated k+ channels; 5. Ca++ pumps remove excess [Ca++]in
Channelopathies|genetic mutations of ion channels
